Men's Canadian Singles, 500 metres;Canadien individuel, 500 metres (H);
Men's Canadian Singles, Slalom;Canadien individuel, Slalom (H);
Men's Folding Kayak Doubles, 10 kilometres;Kayak à 2, 10 kilometres (H);
Men's Folding Kayak Singles, 10 kilometres;Kayak individuel, 10 kilometres (H);
Men's Kayak Doubles, 1,000 metres;Kayak à 2, 1,000 metres (H);
Men's Kayak Doubles, 10,000 metres;Kayak à 2, 10,000 metres (H);
Men's Kayak Doubles, 200 metres;Kayak à 2, 200 metres (H);
Men's Kayak Doubles, 500 metres;Kayak à 2, 500 metres (H);
Men's Kayak Fours, 1,000 metres;Kayak à 4, 1,000 metres (H);
Men's Kayak Relay 4 x 500 metres;Relais Kayak 4 x 500 metres (H);
Men's Kayak Singles, 1,000 metres;Kayak individuel, 1,000 metres (H);
Men's Kayak Singles, 10,000 metres;Kayak individuel, 10,000 metres (H);
Men's Kayak Singles, 200 metres;Kayak individuel, 200 metres (H);
Men's Kayak Singles, 500 metres;Kayak individuel, 500 metres (H);
Men's Kayak Singles, Slalom;Kayak individuel, Slalom (H);
Women's Kayak Doubles, 500 metres;Kayak à 2, 500 metres (F);
Women's Kayak Fours, 500 metres;Kayak à 4, 500 metres (F);
Women's Kayak Singles, 200 metres;Kayak individuel, 200 metres (F);
Women's Kayak Singles, 500 metres;Kayak individuel, 500 metres (F);
Women's Kayak Singles, Slalom;Kayak individuel, Slalom (F);
Men's Cricket;Cricket (H);
double men;Doubles Open;
Mixed Singles, One Ball;Individuel 1 balle mixte;
Mixed Singles, Two Balls;Individuel 2 balles mixte;
Men's 12-Hours Race;Course 12 heures (H);
Men's 2 mile;2 mile (H);
Men's 25 kilometres;25 kilomètres (H);
Men's 25 mile;25 mile (H);
Men's 333 metres Time Trial;333 mètres, contre la montre (H);
Men's 5 mile;5 mile (H);
Men's BMX;BMX (H);
Men's Individual Pursuit, 4,000 metres;Poursuite individuelle, 4,000 mètres (H);
Men's Mountainbike, Cross-Country;VTT, Cross-Country (H);
Men's Points Race;Course aux points (H);
Men's Road Race, Individual;Course sur route, Individuel (H);
Men's Road Race, Team;Course sur route, par équipe (H);
Men's Tandem Sprint, 2,000 metres;Sprint en tandem, 2,000 mètres (H);
Men's Team Pursuit, 1,980 yards;Poursuite, 1980 yards, par équipe (H);
Men's Team Pursuit, 4,000 metres;Poursuite, 4000 mètres, par équipe (H);
Women's 500 metres Time Trial;500 mètres contre la montre (F);
Women's BMX;BMX (F);
Women's Individual Pursuit, 3,000 metres;Poursuite individuelle, 3000 mètres (F);
Women's Mountainbike, Cross-Country;VTT, Cross-Country (F);
Women's Points Race;Course aux points (F);
Women's Road Race, Individual;Course sur route, Individuel (F);
Men's Park;Park (H);
Women's Park;Park (F);
Men's Cross-country;Cross-Country (H);
Women's Cross-country;Cross-Country (F);
Men's Individual Time Trial;Contre-la-Montre Individuel (H);
Men's Road Race;Course sur Route (H);
Women's Individual Time Trial;Contre-la-Montre Individuel (F);
Women's Road Race;Course sur Route (F);
individual road race men;course sur route individuelle (H);
Men's Keirin;Keirin (H);
Men's Madison;Madison (H);
Men's Omnium;Omnium (H);
Men's Sprint;Sprint (H);
Men's Team Pursuit;Poursuite Équipe (H);
Men's Team Sprint;Sprint Équipe (H);
Women's Keirin;Keirin (F);
Women's Madison;Madison (F);
Women's Omnium;Omnium (F);
Women's Sprint;Sprint (F);
Women's Team Pursuit;Poursuite Équipe (F);
Women's Team Sprint;Sprint Équipe (H);
Men's 100 kilometres;100 km (H);
Men's 100 kilometres Team Time Trial;100 km contre la montre par équipe (H);
1980 yards Pursuit Team men;1980y poursuite par équipes (H);
20km men;20 km homme;
10km men;10 km (H);
Men's 1,000 metres Time Trial;1 km contre la montre (H);
12-hour race men;Course 12 heures homme;
Sprint individual men;Vitesse individuelle (H);
25 kilometres men;25 kilometres (H);
Course De Primes Men;Course De Primes (H);
Men's 1 mile;1 mile (H);
5000m men;5000m (H);
Men's 1/2 mile;1/2 mile (805m) (H);
One lap 660y sprint men;Un tour de piste 660y (603.49m (H);
Men's 1/3 mile;1/3 mile (536m) (H);
Men's 1/4 mile;1/4 mile (402m) (H);
2 miles 3218m men;2 miles (3218m) (H);
25 miles 40232m men;25 miles (40232m) (H);
5 miles 8046m men;5 miles (8046m) (H);
Tandem Sprint, 2,000 metres Men;Tandem Sprint, 2,000 metres (H);
Men's Plain High;Plongeon de haut vol (H);
Men's Platform;Plateforme 10m (H);
Men's Springboard;Tremplin 3m (H);
Men's Synchronized Platform;Plateforme Synchronisé 10m (H);
Men's Synchronized Springboard;Tremplin Synchronisé 3m (H);
Women's Plain High;Plongeon de haut vol (F);
Women's Platform;Plateforme 10m (F);
Women's Springboard;Tremplin 3m (F);
Women's Synchronized Platform;Plateforme Synchronisé 10m (F);
Women's Synchronized Springboard;Tremplin Synchronisé 3m (F);
Men's Dressage, Individual;Dressage Individuel (H);
